"","parameter","mean_estimate","sd_estimate","precision","se_mean","cv","relative_bias","coverage","hdi_lower","hdi_upper"
"1","alphaBday",5.67244144732526,0.711328575469691,1.97633011759615,0.0711328575469691,0.125400778848957,41.8110361831314,0.83,3.52920357797962,7.99687198247239
"2","muBday",33.2468686105417,0.605093285807972,2.73121149777761,0.0605093285807972,0.0182000083345026,-2.21509232193628,0.8,32.0162951436786,34.4959063880286
"3","nborn",523.528442204825,15.593874357275,0.00411236769239391,1.5593874357275,0.0297861073060364,4.70568844096504,0.69,492.133808517544,555.262531959203
"4","sdBday",15.3882062236088,1.0440139763207,0.917460498576911,0.10440139763207,0.0678450731131324,28.2350518634066,0.09,13.3181692944941,17.5143086839806
